Venezuela (Bolivarian Republic of),287,340,353,400.4,480.3,500.3,528.5,535.6,514.7,514.7,514.7,514.7,514.7, c,862
Viet Nam,99.1,147,205.7,287.1,390,414.3,436.1,459.7,487.2,519.8,552.1,589.7,631.4,,704
Yemen,40.1,54.1,69.6,85.5,105.7,92.3,94.5,99.1,98.9,82.4,71.2,66.9,65.1,,887
Zambia,18.8,18.5,22.1,29.9,45.4,47.9,51.6,54.2,56.7,58.4,60.6,62.7,65,,894
Zimbabwe,29.4,31.2,35,23.8,24.5,28,32.6,33.3,34.1,34.7,34.9,36.6,38.8,,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,,20
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,,192
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,,438
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,,760
United Kingdom,1527.1,1654.5,1952.4,2245.2,2291.5,2329.2,2362.9,2411.3,2482.3,2540.7,2586.1,2633.3,2670.1,,826
United States,9189.3,10430.3,12883.9,14631.9,15305.2,15542.6,15892.2,16185,16581.8,17059.5,17326.9,17711,18217,,840
